vbin,co_radar,n,headway_med,headway_p10,duoi_1s,ttc_p10,du_ket_luan
<30,False,6817,4.068531250765752,2.261592773465242,0.029338418659234266,4.256059166469864,co
<30,True,6476,3.55782793392283,2.1633147890152475,0.41692402717726995,4.9262313382183205,co
30-50,False,6038,2.9975230014950993,1.6489508151358039,0.8612123219609142,9.757871963839158,co
30-50,True,4577,2.9337683921925977,1.5322080374076283,0.021848372296263928,12.000750608367678,co
>50,False,104,1.5270078466234347,1.292442946186306,0.0,11.498106740781536,co
>50,True,3,0.8788482564628323,0.8698640744882306,100.0,,MAU QUA IT
