route,segment,t,v_ego,long_active,d_rel,co_radar,headway_s,ttc_s,v_lead,plan_src
data,segment_0,11156353110673,3.5,False,28.624555587768555,False,8.178444453648158,9.872984143864224,0.6007188558578491,e2e
data,segment_0,11156452936726,3.5278019586318803,False,28.31780433654785,False,8.027039121983425,8.701993904899672,0.26145073771476746,e2e
data,segment_0,11157148694920,3.59375,False,27.913372039794922,False,7.767199176290761,11.040939034398054,1.065579891204834,cruise
data,segment_0,11157198610524,3.59375,False,26.798236846923828,False,7.456900687839674,10.91470638844641,1.138508915901184,cruise
data,segment_0,11157456665048,3.546875,False,26.011201858520508,False,7.333554709010187,10.315832988838363,1.025391697883606,e2e
data,segment_0,11157503221123,3.546875,False,26.307680130004883,False,7.4171432965652535,10.642969070860334,1.0750383138656616,cruise
data,segment_0,11157554684491,3.53125,False,25.729389190673828,False,7.286198708863385,11.441502408541934,1.282472848892212,cruise
data,segment_0,11157598669919,3.53125,False,24.316797256469727,False,6.886172674398507,12.208929278327734,1.5395276546478271,e2e
data,segment_0,11157648839109,3.53125,False,24.803146362304688,False,7.023899854811947,11.476394897131362,1.3700186014175415,e2e
data,segment_0,11157698555552,3.5625,False,25.346511840820312,False,7.114810341282895,10.49256634505945,1.1468361616134644,e2e
data,segment_0,11157748543029,3.53125,False,25.201946258544922,False,7.136834338702987,10.218741492810652,1.0650025606155396,e2e
data,segment_0,11158152999263,3.578125,False,24.964508056640625,False,6.976980417576419,10.545610340483003,1.2108360528945923,e2e
data,segment_0,11158198479331,3.578125,False,24.76504898071289,False,6.921236396356441,10.982498781450987,1.3231691122055054,cruise
data,segment_0,11158298708287,3.59375,False,24.15322494506836,False,6.720897376019022,10.343496998724751,1.2586379051208496,e2e
data,segment_0,11158348748783,3.59375,False,23.175853729248047,False,6.448933211616848,9.390920772557722,1.125849962234497,e2e
data,segment_0,11158398605170,3.59375,False,23.36442756652832,False,6.5014059315557065,9.162506222247654,1.0437458753585815,e2e
data,segment_0,11158448600407,3.59375,False,23.36983299255371,False,6.502910050101902,9.142931017451847,1.0376951694488525,e2e
data,segment_0,11158498407994,3.59375,False,23.924766540527344,False,6.657326341711957,9.324861503876107,1.0280532836914062,e2e
data,segment_0,11158548586038,3.594088573790783,False,23.901485443115234,False,6.650221593705935,9.142455461465111,0.9950352907180786,e2e
data,segment_0,11158598485184,3.59375,False,23.901695251464844,False,6.650906504755435,9.756063419536519,1.143817663192749,e2e
data,segment_0,11158648922751,3.59375,False,22.996273040771484,False,6.398962933084239,9.545083982927315,1.1845229864120483,e2e
data,segment_0,11158698792679,3.59375,False,23.619556427001953,False,6.572398310122282,10.261965625777538,1.2920900583267212,e2e
data,segment_0,11158748497092,3.578345823339186,False,22.258602142333984,False,6.220360815088309,10.148136440783533,1.4003814458847046,e2e
data,segment_0,11158798623002,3.59375,False,22.759981155395508,False,6.333212147588315,9.719035364491264,1.2519557476043701,e2e
data,segment_0,11158848530898,3.59375,False,22.95700454711914,False,6.388036047894022,9.735179602365594,1.2356008291244507,e2e
data,segment_0,11158898572488,3.592357344376603,False,22.70120620727539,False,6.319306246860814,9.63923832655695,1.2386670112609863,e2e
data,segment_0,11158948428198,3.578125,False,22.364892959594727,False,6.250450434122544,9.124361414945252,1.1270062923431396,e2e
data,segment_0,11158998543692,3.56381453744221,False,21.75303077697754,False,6.103861620304724,9.03149651272241,1.1695506572723389,e2e
data,segment_0,11159048486899,3.5633767236494927,False,20.857017517089844,False,5.853160957881763,8.562237533906611,1.1421942710876465,e2e
